CompanyName,Year,AssetClass,Country,Sector,ValueNOK_Billions,ShareOfFund_Pct
NVIDIA Corp,2025,Equities,United States,Technology,574,3.20
Apple Inc,2025,Equities,United States,Technology,497,2.80
Microsoft Corp,2025,Equities,United States,Technology,459,2.60
Alphabet Inc,2025,Equities,United States,Technology,439,2.50
Amazon.com Inc,2025,Equities,United States,Consumer Discretionary,308,1.70
Taiwan Semiconductor Manufacturing Co Ltd,2025,Equities,Taiwan,Technology,229,1.30
Broadcom Inc,2025,Equities,United States,Technology,216,1.20
Meta Platforms Inc,2025,Equities,United States,Technology,196,1.10
Tesla Inc,2025,Equities,United States,Consumer Discretionary,161,0.90
Eli Lilly & Co,2025,Equities,United States,Health Care,121,0.70
Berkshire Hathaway Inc,2025,Equities,United States,Financials,116,0.60
JPMorgan Chase & Co,2025,Equities,United States,Financials,113,0.60
ASML Holding NV,2025,Equities,Netherlands,Technology,96,0.50
Tencent Holdings Ltd,2025,Equities,China,Technology,95,0.50
Samsung Electronics Co Ltd,2025,Equities,South Korea,Technology,94,0.50
Novo Nordisk A/S,2025,Equities,Denmark,Health Care,88,0.49
UnitedHealth Group Inc,2025,Equities,United States,Health Care,85,0.48
Visa Inc,2025,Equities,United States,Financials,78,0.44
Mastercard Inc,2025,Equities,United States,Financials,72,0.40
Nestle SA,2025,Equities,Switzerland,Consumer Staples,68,0.38
Roche Holding AG,2025,Equities,Switzerland,Health Care,65,0.36
Toyota Motor Corp,2025,Equities,Japan,Consumer Discretionary,62,0.35
LVMH Moet Hennessy,2025,Equities,France,Consumer Discretionary,60,0.34
Procter & Gamble Co,2025,Equities,United States,Consumer Staples,58,0.32
Johnson & Johnson,2025,Equities,United States,Health Care,55,0.31
US Treasury Bonds,2025,Fixed Income,United States,Government Bonds,850,4.80
German Bunds,2025,Fixed Income,Germany,Government Bonds,320,1.80
UK Gilts,2025,Fixed Income,United Kingdom,Government Bonds,280,1.60
Japanese Government Bonds,2025,Fixed Income,Japan,Government Bonds,250,1.40
French OATs,2025,Fixed Income,France,Government Bonds,200,1.10
Corporate Bond Portfolio - US,2025,Fixed Income,United States,Corporate Bonds,180,1.00
Corporate Bond Portfolio - EU,2025,Fixed Income,Germany,Corporate Bonds,120,0.68
Prologis Logistics Portfolio,2025,Real Estate,United States,Logistics,45,0.25
London Office Portfolio,2025,Real Estate,United Kingdom,Office,38,0.21
Paris Retail Portfolio,2025,Real Estate,France,Retail,32,0.18
Tokyo Office Portfolio,2025,Real Estate,Japan,Office,28,0.16
Berlin Mixed-Use Portfolio,2025,Real Estate,Germany,Mixed Use,22,0.12
Borssele Wind Farm,2025,Infrastructure,Netherlands,Wind Energy,15,0.08
Moray East Offshore Wind,2025,Infrastructure,United Kingdom,Wind Energy,12,0.07
Lingan Solar Farm,2025,Infrastructure,Spain,Solar Energy,8,0.04
